movie_title,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
I See You,Marshall Shaffer,FALSE,Decider,rotten,,"Mar 27, 2023","There’s some cleverness in its construction that might delight genre enthusiasts, yet a strong mid-section gets tainted by the painfully obvious opening and closing bits."
I See You,Diego Batlle,FALSE,Otroscines.com,fresh, 3.5/5 ,"Jun 22, 2021","It could have gone very wrong and, beyond a few conventions and effects, the result is positive. [Full Review in Spanish]"
I See You,Jordy Sirkin,FALSE,Jordy Reviews It,fresh,,"Jan 2, 2021","I See You is a completely unpredictable thriller - original, mind-numbing and totally twisted."
I See You,Kate Sánchez,FALSE,But Why Tho? A Geek Community,fresh, 8/10 ,"Sep 16, 2020","I See You is a film to pick up if you're a horror fan, a noir fan, or a thriller fan. It offers up a variety of scares and stories that keeps it pacing and intensity throughout various twists."
I See You,David Nusair,FALSE,Reel Film Reviews,fresh, 3/4 ,"Aug 5, 2020",I See You's success is due predominantly to the myriad of surprises that crop up within its second half...
Cocaine Bear,Susan Granger,FALSE,SSG Syndicate,rotten, 5/10 ,"Mar 28, 2023",Silly and contrived action-comedy caper....
Cocaine Bear,Rubén Romero Santos,FALSE,Cinemanía (Spain),rotten, 3/5 ,"Mar 28, 2023",The approach required a director who had more love and respect for the B movie concept. [Full review in Spanish].
Cocaine Bear,Michael Calleri,FALSE,Niagara Gazette,fresh,,"Mar 26, 2023","This is not a great horror film, but it is a fun one if seen in a crowded movie theater with people having a rip-snorting good time screaming at the insanity. The film succeeds in its own way and certainly delivers on the horror side of the equation."
Cocaine Bear,Sean Chandler,FALSE,Sean Chandler Talks About,fresh, B- ,"Mar 24, 2023","While I wish there was more time with the bear and less time with the very large cast, but it still just barely delivered enough schlocky fun to keep me entertained for 90 minutes."
Cocaine Bear,Hernán Ferreirós,FALSE,La Nación (Argentina),rotten, 2/5 ,"Mar 23, 2023","The problem with high-concept movies -- which premise you can explain in a single tweet -- is that once you present the concept on-screen, the only place to go is down. [Full review in Spanish]"
Everything Everywhere All at Once,Juan José Beteta,FALSE,Cinencuentro,fresh,,"Mar 28, 2023","... Touches upon important themes such as control through technology, media, food, and body while resorting to an anarchic and hilarious sense of humor. [Full review in Spanish]"
Everything Everywhere All at Once,Eve Tushnet,FALSE,Patheos,rotten,,"Mar 24, 2023","The filmmakers try to load the entire weight of life, the universe, and everything onto their movie. This is too many things on a bagel."
Everything Everywhere All at Once,Carla Renata,FALSE,The Curvy Film Critic,fresh,,"Mar 22, 2023","Michelle Yeoh proves that being a middle aged immigrant has no boundaries and she is backed up with the amazingly gifted talents of Ke Huy Quan, Jaime Lee Curtis and Stephanie Hsu ! The Daniels provide a supreme sci-fi smorgasbord for the ages."
Everything Everywhere All at Once,Milana Vujkov,FALSE,Lola On Film,rotten, 2/5 ,"Mar 19, 2023","It holds within it a great idea, when one disentangles it from the hairball that is the EEAAO narrative. But [...] in all its originality, it telegraphs its message, instead of allowing this intricately constructed ingenious world to be the message."
Everything Everywhere All at Once,Robin Holabird,FALSE,Robin Holabird,fresh,,"Mar 16, 2023","Outrageous, confusing or confounding, Everything Everywhere All At Once stands out as one of the most original movies to come along in years."
John Wick,Vadim Rizov,FALSE,Filmmaker Magazine,rotten,,"Jan 24, 2023","Even with the CGI taken out, the trade of po-faced filler for action righteousness is still in effect."
John Wick,Keith Garlington,FALSE,Keith & the Movies,fresh, 4/5 ,"Aug 22, 2022","It’s definitely a movie made for a particular audience, and if wall-to-wall action and stylized violence isn’t your cup of tea, neither is “John Wick”."
John Wick,Brian Eggert,FALSE,Deep Focus Review,fresh, 3/4 ,"Jul 18, 2022","For all of its familiar plot elements, the movie knows when to step back, let Keanu do his thing, and watch the impressive fight and gunplay choreography throughout."
John Wick,Kip Mooney,FALSE,Central Track,fresh, B+ ,"Aug 10, 2021",The directors find new ways to stage and frame these deadly encounters in a way that constantly feels fresh and exciting.
John Wick,Nathan Mattise,FALSE,Ars Technica,fresh,,"Jul 28, 2021",The original John Wick showed beloved icon Keanu Reeves still had plenty of action in him post-Matrix.
The Whale,Nilton Arana,FALSE,Cinencuentro,rotten,,"Mar 29, 2023",A strangely hopeful story that manages to stay on the surface even as it seems to sink into mediocrity. [Full review in Spanish]
The Whale,David Walsh,FALSE,World Socialist Web Site,rotten,,"Mar 24, 2023",One of the most deplorable elements of The Whale is its near celebration of defeat and resignation. The decision by Charlie to eat himself to death is treated as a meaningful act of self-sacrifice. Why would this possibly be so?
The Whale,Milana Vujkov,FALSE,Lola On Film,rotten, 3/5 ,"Mar 21, 2023","All the weight of the story (metaphorically and literally) is carried by its tragic protagonist — the ailing Charlie, whom Brendan Fraser portrays with such depth, nuance, and wit. Nothing in the film's text matches this commitment, and that's a problem."
The Whale,Allison Rose,FALSE,FlickDirect,fresh, 3.5/5 ,"Mar 21, 2023",Two words - Brendan Fraser. He was born to play Charlie and his Oscar award is extremely well deserved.
The Whale,Amber Wilkinson,FALSE,Eye for Film,fresh, 3/5 ,"Mar 17, 2023","Chamber settings, by their nature, let the acting echo out and Fraser’s central performance speaks volumes about his character’s history."
Tetris,Richard Lawson,FALSE,Vanity Fair,fresh,,"Mar 30, 2023","It all begins irksomely, with lots of bluster and aren’t-we-smart industry jargon, but gradually finds its footing as a sort of diplomatic thriller with a shaggy sweetness at its heart."
Tetris,Justin Chang,FALSE,Los Angeles Times,rotten,,"Mar 29, 2023","The disappointment of “Tetris” is not that it fails to reproduce the pleasures of an ingeniously simple, insanely addictive puzzle game. It’s more that the movie seems at a loss for how to play its own material."
Tetris,Tom Santilli,FALSE,Movie Show Plus,rotten, C+ ,"Mar 29, 2023","It's an incredible story, but only a few ways to spin it (Tetris pun intended)...none of which end up being all that interesting enough to justify stretching it out into a feature-length film."
Tetris,Rachel Wagner,FALSE,rachelsreviews.net,fresh, 7/10 ,"Mar 29, 2023",this story of international intrigue should entertain any fan of the game.
Tetris,Andrew Parker,FALSE,The Gate,rotten, 2/10 ,"Mar 29, 2023","There are only two notes to Tetris, goofy comedy and high tension, and they’re both being played on completely different instruments in completely different locations."
John Wick: Chapter 3 -- Parabellum,Keith Garlington,FALSE,Keith & the Movies,fresh, 4.5/5 ,"Aug 22, 2022","“Parabellum” is an old-school action-lover’s dream, with a body count that easily rivals anything put up by Schwarzenegger or Stallone in the 1980’s. Yet it’s loaded with style and character."
John Wick: Chapter 3 -- Parabellum,M.N. Miller,FALSE,Ready Steady Cut,fresh, 4/5 ,"Aug 20, 2022",John Wick: Chapter 3 – Parabellum puts its stamp on what is the best action franchise of the past 20 years.
John Wick: Chapter 3 -- Parabellum,Brian Eggert,FALSE,Deep Focus Review,rotten, 2.5/4 ,"Mar 3, 2022","The action scenes in this series keep the viewer invested, whereas our interest in the ever-expanding mythology and personal motivations of Wick have thinned over two sequels."
John Wick: Chapter 3 -- Parabellum,Catherine Gonzales,FALSE,Shuffle Online,fresh,,"Feb 12, 2022","""The film moves the franchise and genre forward and manages to find new ways to kill bad guys."""
John Wick: Chapter 3 -- Parabellum,Nicholas Oon,FALSE,Maximum Hype (YouTube),fresh, 8.5/10 ,"Sep 4, 2021",This might be the defining action movie of the year.
RRR,Steve Crum,FALSE,Crum on Showbiz,fresh, A ,"Mar 24, 2023",There are complications and coincidences at work. That is the heart and soul of this great adventure laden with fantasy.
RRR,Matt Brunson,FALSE,Film Frenzy,fresh, 3.5/4 ,"Mar 13, 2023",One of 2022's 20 best films.
RRR,Alison Herman,FALSE,The Ringer,fresh,,"Mar 10, 2023","In a movie that also includes Bheem battling a tiger with his bare hands and an aerial rescue involving a motorcycle, “Naatu Naatu” may be the most impressive action sequence."
RRR,Rahul Desai,FALSE,Film Companion,fresh,,"Mar 10, 2023","It's not just about men transitioning from ignorant to enlightened, sad to happy, or anti-hero to hero. It's about humans morphing into fable, history turning into heavens and hells – and life transforming into visual literature."
RRR,Mukesh Manjunath,FALSE,Film Companion,fresh,,"Mar 10, 2023","...goosebumps raising, whiste-worthy, crazy, insane. Did I say outrageous?"
Dragged Across Concrete,Marshall Shaffer,FALSE,Decider,fresh,,"Mar 20, 2023","While it's certainly not a pleasant watch thanks to its brutal violence and bloated runtime, the murkiness merits discussion and deliberation."
